Sequence  | Address         | Length  | TermCode            | Uri                                                                                                           | OpSig                                                                                                         | Data
22        | 7ff7c85729c0h   | 21      | CTC_RET_Zx3         | hex://logix/logic.ops?false#false_(1u,1u,1u)                                                                  | bit false(bit a, bit b, bit c)                                                                                | 0f 1f 44 00 00 89 4c 24 08 89 54 24 10 44 89 44 24 18 33 c0 c3
23        | 7ff7c85729f0h   | 18      | CTC_RET_Zx3         | hex://logix/logic.ops?f01#f01_(1u,1u,1u)                                                                      | bit f01(bit a, bit b, bit c)                                                                                  | 0f 1f 44 00 00 41 0b d0 0b d1 8b c2 f7 d0 83 e0 01 c3
24        | 7ff7c8572a20h   | 18      | CTC_RET_Zx3         | hex://logix/logic.ops?f02#f02_(1u,1u,1u)                                                                      | bit f02(bit a, bit b, bit c)                                                                                  | 0f 1f 44 00 00 0b d1 8b c2 f7 d0 83 e0 01 41 23 c0 c3
25        | 7ff7c8572a50h   | 20      | CTC_RET_SBB         | hex://logix/logic.ops?f03#f03_(1u,1u,1u)                                                                      | bit f03(bit a, bit b, bit c)                                                                                  | 0f 1f 44 00 00 44 89 44 24 18 0b d1 8b c2 f7 d0 83 e0 01 c3
26        | 7ff7c8572a80h   | 18      | CTC_RET_Zx3         | hex://logix/logic.ops?f04#f04_(1u,1u,1u)                                                                      | bit f04(bit a, bit b, bit c)                                                                                  | 0f 1f 44 00 00 41 0b c8 8b c1 f7 d0 83 e0 01 23 c2 c3
27        | 7ff7c8572ab0h   | 20      | CTC_RET_SBB         | hex://logix/logic.ops?f05#f05_(1u,1u,1u)                                                                      | bit f05(bit a, bit b, bit c)                                                                                  | 0f 1f 44 00 00 89 54 24 10 41 0b c8 8b c1 f7 d0 83 e0 01 c3
28        | 7ff7c8572ae0h   | 18      | CTC_RET_Zx3         | hex://logix/logic.ops?f06#f06_(1u,1u,1u)                                                                      | bit f06(bit a, bit b, bit c)                                                                                  | 0f 1f 44 00 00 8b c1 f7 d0 83 e0 01 41 33 d0 23 c2 c3
29        | 7ff7c8572b10h   | 18      | CTC_RET_Zx3         | hex://logix/logic.ops?f07#f07_(1u,1u,1u)                                                                      | bit f07(bit a, bit b, bit c)                                                                                  | 0f 1f 44 00 00 41 23 d0 0b d1 8b c2 f7 d0 83 e0 01 c3
30        | 7ff7c8572b40h   | 18      | CTC_RET_Zx3         | hex://logix/logic.ops?f08#f08_(1u,1u,1u)                                                                      | bit f08(bit a, bit b, bit c)                                                                                  | 0f 1f 44 00 00 8b c1 f7 d0 83 e0 01 23 c2 41 23 c0 c3
31        | 7ff7c8572b70h   | 18      | CTC_RET_Zx3         | hex://logix/logic.ops?f09#f09_(1u,1u,1u)                                                                      | bit f09(bit a, bit b, bit c)                                                                                  | 0f 1f 44 00 00 41 33 d0 0b d1 8b c2 f7 d0 83 e0 01 c3
